indu_label,demand_total_tru2,postings_total_tru1,n_ads,mean_ind_exp_tru2,exposed_demand_p80,high_share_p80
"Vorbereitende Baustellenarbeiten, Bauinstallation und sonstiges Ausbaugewerbe",96390.5839,85354.4148,3237,-1.2805669647058826,0.0,0.0
"Post-, Kurier- und Expressdienste",14339.8674,12108.9048,482,-1.2160006666666667,0.0,0.0
Gastronomie,54225.6532,49205.8672,1864,-1.083814,0.0,0.0
"Land- und Forstwirtschaft, Fischerei",5606.3021,4378.4785,359,-1.0345610360000002,0.0,0.0
"Herstellung von Holz-, Flecht-, Korb- und Korkwaren (ohne Möbel)",12361.7932,11953.3618,325,-0.9917948846153847,0.0,0.0
Lagerei sowie Erbringung von sonstigen Dienstleistungen für den Verkehr,15597.1818,17034.3386,706,-0.9599344375,0.0,0.0
Tiefbau,7615.4405,6489.3336,283,-0.9336955999999998,0.0,0.0
Herstellung von Nahrungsmitteln und Tabakerzeugnissen,18587.4235,16931.2629,977,-0.922205610810811,0.0,0.0
Metallerzeugung und -bearbeitung,19332.6856,18499.2555,850,-0.90477262,0.0,0.0
Beherbergung,19395.5887,18855.2013,288,-0.8153907499999999,0.0,0.0
"Herstellung von Glas und Glaswaren, Keramik. Verarbeitung von Steinen und Erden",5231.4655,4974.2546,218,-0.7346721749999999,0.0,0.0
Herstellung von Gummi- und Kunststoffwaren,8063.0697,7830.5543,397,-0.713524561111111,0.0,0.0
Hochbau,19091.7561,16861.4142,527,-0.7117375500000002,0.0,0.0
Herstellung von Textilien und Bekleidung,7491.6434,7235.1519,289,-0.6592031552631579,0.0,0.0
Herstellung von Papier. Pappe und Waren daraus,9126.758100000001,8683.0817,305,-0.64109755,0.0,0.0
